,Date,Door,Count
0,2017-07-01 00:00,DoorA,0
1,2017-07-01 00:00,DoorB,0
2,2017-07-01 00:00,DoorC,0
3,2017-07-01 00:00,DoorD,0
4,2017-07-01 00:00,DoorE,0
5,2017-07-01 00:30,DoorA,0
6,2017-07-01 00:30,DoorB,0
7,2017-07-01 00:30,DoorC,0
8,2017-07-01 00:30,DoorD,0
9,2017-07-01 00:30,DoorE,0
10,2017-07-01 01:00,DoorA,0
11,2017-07-01 01:00,DoorB,0
12,2017-07-01 01:00,DoorC,0
13,2017-07-01 01:00,DoorD,0
14,2017-07-01 01:00,DoorE,0
15,2017-07-01 01:30,DoorA,0
16,2017-07-01 01:30,DoorB,0
17,2017-07-01 01:30,DoorC,0
18,2017-07-01 01:30,DoorD,0
19,2017-07-01 01:30,DoorE,0
20,2017-07-01 02:00,DoorA,0
21,2017-07-01 02:00,DoorB,0
22,2017-07-01 02:00,DoorC,0
23,2017-07-01 02:00,DoorD,0
24,2017-07-01 02:00,DoorE,0
25,2017-07-01 02:30,DoorA,0
26,2017-07-01 02:30,DoorB,0
27,2017-07-01 02:30,DoorC,0
28,2017-07-01 02:30,DoorD,0
29,2017-07-01 02:30,DoorE,0
30,2017-07-01 03:00,DoorA,0
31,2017-07-01 03:00,DoorB,0
32,2017-07-01 03:00,DoorC,0
33,2017-07-01 03:00,DoorD,0
34,2017-07-01 03:00,DoorE,0
35,2017-07-01 03:30,DoorA,0
36,2017-07-01 03:30,DoorB,0
37,2017-07-01 03:30,DoorC,0
38,2017-07-01 03:30,DoorD,0
39,2017-07-01 03:30,DoorE,0
40,2017-07-01 04:00,DoorA,0
41,2017-07-01 04:00,DoorB,0
42,2017-07-01 04:00,DoorC,0
43,2017-07-01 04:00,DoorD,0
44,2017-07-01 04:00,DoorE,0
45,2017-07-01 04:30,DoorA,0
46,2017-07-01 04:30,DoorB,0
47,2017-07-01 04:30,DoorC,0
48,2017-07-01 04:30,DoorD,0
49,2017-07-01 04:30,DoorE,0
50,2017-07-01 05:00,DoorA,0
51,2017-07-01 05:00,DoorB,0
52,2017-07-01 05:00,DoorC,0
53,2017-07-01 05:00,DoorD,0
54,2017-07-01 05:00,DoorE,0
55,2017-07-01 05:30,DoorA,0
56,2017-07-01 05:30,DoorB,0
57,2017-07-01 05:30,DoorC,0
58,2017-07-01 05:30,DoorD,0
59,2017-07-01 05:30,DoorE,0
60,2017-07-01 06:00,DoorA,0
61,2017-07-01 06:00,DoorB,0
62,2017-07-01 06:00,DoorC,0
63,2017-07-01 06:00,DoorD,0
64,2017-07-01 06:00,DoorE,0
65,2017-07-01 06:30,DoorA,0
66,2017-07-01 06:30,DoorB,0
67,2017-07-01 06:30,DoorC,0
68,2017-07-01 06:30,DoorD,0
69,2017-07-01 06:30,DoorE,0
70,2017-07-01 07:00,DoorA,0
71,2017-07-01 07:00,DoorB,0
72,2017-07-01 07:00,DoorC,0
73,2017-07-01 07:00,DoorD,0
74,2017-07-01 07:00,DoorE,0
75,2017-07-01 07:30,DoorA,0
76,2017-07-01 07:30,DoorB,0
77,2017-07-01 07:30,DoorC,0
78,2017-07-01 07:30,DoorD,0
79,2017-07-01 07:30,DoorE,0
80,2017-07-01 08:00,DoorA,62
81,2017-07-01 08:00,DoorB,78
82,2017-07-01 08:00,DoorC,32
83,2017-07-01 08:00,DoorD,133
84,2017-07-01 08:00,DoorE,54
85,2017-07-01 08:30,DoorA,55
86,2017-07-01 08:30,DoorB,84
87,2017-07-01 08:30,DoorC,31
88,2017-07-01 08:30,DoorD,117
89,2017-07-01 08:30,DoorE,46
90,2017-07-01 09:00,DoorA,68
91,2017-07-01 09:00,DoorB,81
92,2017-07-01 09:00,DoorC,20
93,2017-07-01 09:00,DoorD,103
94,2017-07-01 09:00,DoorE,45
95,2017-07-01 09:30,DoorA,75
96,2017-07-01 09:30,DoorB,90
97,2017-07-01 09:30,DoorC,30
98,2017-07-01 09:30,DoorD,135
99,2017-07-01 09:30,DoorE,56
100,2017-07-01 10:00,DoorA,64
101,2017-07-01 10:00,DoorB,88
102,2017-07-01 10:00,DoorC,45
103,2017-07-01 10:00,DoorD,109
104,2017-07-01 10:00,DoorE,46
105,2017-07-01 10:30,DoorA,72
106,2017-07-01 10:30,DoorB,80
107,2017-07-01 10:30,DoorC,32
108,2017-07-01 10:30,DoorD,121
109,2017-07-01 10:30,DoorE,54
110,2017-07-01 11:00,DoorA,76
111,2017-07-01 11:00,DoorB,69
112,2017-07-01 11:00,DoorC,33
113,2017-07-01 11:00,DoorD,111
114,2017-07-01 11:00,DoorE,50
115,2017-07-01 11:30,DoorA,57
116,2017-07-01 11:30,DoorB,90
117,2017-07-01 11:30,DoorC,36
118,2017-07-01 11:30,DoorD,106
119,2017-07-01 11:30,DoorE,62
120,2017-07-01 12:00,DoorA,49
121,2017-07-01 12:00,DoorB,79
122,2017-07-01 12:00,DoorC,36
123,2017-07-01 12:00,DoorD,113
124,2017-07-01 12:00,DoorE,61
125,2017-07-01 12:30,DoorA,74
126,2017-07-01 12:30,DoorB,77
127,2017-07-01 12:30,DoorC,33
128,2017-07-01 12:30,DoorD,130
129,2017-07-01 12:30,DoorE,55
130,2017-07-01 13:00,DoorA,57
131,2017-07-01 13:00,DoorB,121
132,2017-07-01 13:00,DoorC,41
133,2017-07-01 13:00,DoorD,133
134,2017-07-01 13:00,DoorE,51
135,2017-07-01 13:30,DoorA,65
136,2017-07-01 13:30,DoorB,96
137,2017-07-01 13:30,DoorC,37
138,2017-07-01 13:30,DoorD,146
139,2017-07-01 13:30,DoorE,42
140,2017-07-01 14:00,DoorA,78
141,2017-07-01 14:00,DoorB,93
142,2017-07-01 14:00,DoorC,40
143,2017-07-01 14:00,DoorD,123
144,2017-07-01 14:00,DoorE,73
145,2017-07-01 14:30,DoorA,75
146,2017-07-01 14:30,DoorB,101
147,2017-07-01 14:30,DoorC,36
148,2017-07-01 14:30,DoorD,139
149,2017-07-01 14:30,DoorE,78
150,2017-07-01 15:00,DoorA,90
151,2017-07-01 15:00,DoorB,118
152,2017-07-01 15:00,DoorC,54
153,2017-07-01 15:00,DoorD,173
154,2017-07-01 15:00,DoorE,52
155,2017-07-01 15:30,DoorA,89
156,2017-07-01 15:30,DoorB,123
157,2017-07-01 15:30,DoorC,58
158,2017-07-01 15:30,DoorD,178
159,2017-07-01 15:30,DoorE,77
160,2017-07-01 16:00,DoorA,62
161,2017-07-01 16:00,DoorB,72
162,2017-07-01 16:00,DoorC,30
163,2017-07-01 16:00,DoorD,166
164,2017-07-01 16:00,DoorE,62
165,2017-07-01 16:30,DoorA,58
166,2017-07-01 16:30,DoorB,85
167,2017-07-01 16:30,DoorC,45
168,2017-07-01 16:30,DoorD,128
169,2017-07-01 16:30,DoorE,49
170,2017-07-01 17:00,DoorA,71
171,2017-07-01 17:00,DoorB,99
172,2017-07-01 17:00,DoorC,21
173,2017-07-01 17:00,DoorD,100
174,2017-07-01 17:00,DoorE,40
175,2017-07-01 17:30,DoorA,64
176,2017-07-01 17:30,DoorB,82
177,2017-07-01 17:30,DoorC,36
178,2017-07-01 17:30,DoorD,113
179,2017-07-01 17:30,DoorE,46
180,2017-07-01 18:00,DoorA,55
181,2017-07-01 18:00,DoorB,69
182,2017-07-01 18:00,DoorC,26
183,2017-07-01 18:00,DoorD,121
184,2017-07-01 18:00,DoorE,50
185,2017-07-01 18:30,DoorA,72
186,2017-07-01 18:30,DoorB,84
187,2017-07-01 18:30,DoorC,28
188,2017-07-01 18:30,DoorD,121
189,2017-07-01 18:30,DoorE,56
190,2017-07-01 19:00,DoorA,64
191,2017-07-01 19:00,DoorB,85
192,2017-07-01 19:00,DoorC,32
193,2017-07-01 19:00,DoorD,132
194,2017-07-01 19:00,DoorE,43
195,2017-07-01 19:30,DoorA,49
196,2017-07-01 19:30,DoorB,82
197,2017-07-01 19:30,DoorC,39
198,2017-07-01 19:30,DoorD,111
199,2017-07-01 19:30,DoorE,55
200,2017-07-01 20:00,DoorA,45
201,2017-07-01 20:00,DoorB,66
202,2017-07-01 20:00,DoorC,36
203,2017-07-01 20:00,DoorD,139
204,2017-07-01 20:00,DoorE,45
205,2017-07-01 20:30,DoorA,67
206,2017-07-01 20:30,DoorB,94
207,2017-07-01 20:30,DoorC,34
208,2017-07-01 20:30,DoorD,133
209,2017-07-01 20:30,DoorE,45
210,2017-07-01 21:00,DoorA,0
211,2017-07-01 21:00,DoorB,0
212,2017-07-01 21:00,DoorC,0
213,2017-07-01 21:00,DoorD,0
214,2017-07-01 21:00,DoorE,0
215,2017-07-01 21:30,DoorA,0
216,2017-07-01 21:30,DoorB,0
217,2017-07-01 21:30,DoorC,0
218,2017-07-01 21:30,DoorD,0
219,2017-07-01 21:30,DoorE,0
220,2017-07-01 22:00,DoorA,0
221,2017-07-01 22:00,DoorB,0
222,2017-07-01 22:00,DoorC,0
223,2017-07-01 22:00,DoorD,0
224,2017-07-01 22:00,DoorE,0
225,2017-07-01 22:30,DoorA,0
226,2017-07-01 22:30,DoorB,0
227,2017-07-01 22:30,DoorC,0
228,2017-07-01 22:30,DoorD,0
229,2017-07-01 22:30,DoorE,0
230,2017-07-01 23:00,DoorA,0
231,2017-07-01 23:00,DoorB,0
232,2017-07-01 23:00,DoorC,0
233,2017-07-01 23:00,DoorD,0
234,2017-07-01 23:00,DoorE,0
235,2017-07-01 23:30,DoorA,0
236,2017-07-01 23:30,DoorB,0
237,2017-07-01 23:30,DoorC,0
238,2017-07-01 23:30,DoorD,0
239,2017-07-01 23:30,DoorE,0
240,2017-07-02 00:00,DoorA,0
241,2017-07-02 00:00,DoorB,0
242,2017-07-02 00:00,DoorC,0
243,2017-07-02 00:00,DoorD,0
244,2017-07-02 00:00,DoorE,0
245,2017-07-02 00:30,DoorA,0
246,2017-07-02 00:30,DoorB,0
247,2017-07-02 00:30,DoorC,0
248,2017-07-02 00:30,DoorD,0
249,2017-07-02 00:30,DoorE,0
250,2017-07-02 01:00,DoorA,0
251,2017-07-02 01:00,DoorB,0
252,2017-07-02 01:00,DoorC,0
253,2017-07-02 01:00,DoorD,0
254,2017-07-02 01:00,DoorE,0
255,2017-07-02 01:30,DoorA,0
256,2017-07-02 01:30,DoorB,0
257,2017-07-02 01:30,DoorC,0
258,2017-07-02 01:30,DoorD,0
259,2017-07-02 01:30,DoorE,0
260,2017-07-02 02:00,DoorA,0
261,2017-07-02 02:00,DoorB,0
262,2017-07-02 02:00,DoorC,0
263,2017-07-02 02:00,DoorD,0
264,2017-07-02 02:00,DoorE,0
265,2017-07-02 02:30,DoorA,0
266,2017-07-02 02:30,DoorB,0
267,2017-07-02 02:30,DoorC,0
268,2017-07-02 02:30,DoorD,0
269,2017-07-02 02:30,DoorE,0
270,2017-07-02 03:00,DoorA,0
271,2017-07-02 03:00,DoorB,0
272,2017-07-02 03:00,DoorC,0
273,2017-07-02 03:00,DoorD,0
274,2017-07-02 03:00,DoorE,0
275,2017-07-02 03:30,DoorA,0
276,2017-07-02 03:30,DoorB,0
277,2017-07-02 03:30,DoorC,0
278,2017-07-02 03:30,DoorD,0
279,2017-07-02 03:30,DoorE,0
280,2017-07-02 04:00,DoorA,0
281,2017-07-02 04:00,DoorB,0
282,2017-07-02 04:00,DoorC,0
283,2017-07-02 04:00,DoorD,0
284,2017-07-02 04:00,DoorE,0
285,2017-07-02 04:30,DoorA,0
286,2017-07-02 04:30,DoorB,0
287,2017-07-02 04:30,DoorC,0
288,2017-07-02 04:30,DoorD,0
289,2017-07-02 04:30,DoorE,0
290,2017-07-02 05:00,DoorA,0
291,2017-07-02 05:00,DoorB,0
292,2017-07-02 05:00,DoorC,0
293,2017-07-02 05:00,DoorD,0
294,2017-07-02 05:00,DoorE,0
295,2017-07-02 05:30,DoorA,0
296,2017-07-02 05:30,DoorB,0
297,2017-07-02 05:30,DoorC,0
298,2017-07-02 05:30,DoorD,0
299,2017-07-02 05:30,DoorE,0
300,2017-07-02 06:00,DoorA,0
301,2017-07-02 06:00,DoorB,0
302,2017-07-02 06:00,DoorC,0
303,2017-07-02 06:00,DoorD,0
304,2017-07-02 06:00,DoorE,0
305,2017-07-02 06:30,DoorA,0
306,2017-07-02 06:30,DoorB,0
307,2017-07-02 06:30,DoorC,0
308,2017-07-02 06:30,DoorD,0
309,2017-07-02 06:30,DoorE,0
310,2017-07-02 07:00,DoorA,0
311,2017-07-02 07:00,DoorB,0
312,2017-07-02 07:00,DoorC,0
313,2017-07-02 07:00,DoorD,0
314,2017-07-02 07:00,DoorE,0
315,2017-07-02 07:30,DoorA,0
316,2017-07-02 07:30,DoorB,0
317,2017-07-02 07:30,DoorC,0
318,2017-07-02 07:30,DoorD,0
319,2017-07-02 07:30,DoorE,0
320,2017-07-02 08:00,DoorA,62
321,2017-07-02 08:00,DoorB,92
322,2017-07-02 08:00,DoorC,37
323,2017-07-02 08:00,DoorD,97
324,2017-07-02 08:00,DoorE,38
325,2017-07-02 08:30,DoorA,73
326,2017-07-02 08:30,DoorB,87
327,2017-07-02 08:30,DoorC,31
328,2017-07-02 08:30,DoorD,135
329,2017-07-02 08:30,DoorE,73
330,2017-07-02 09:00,DoorA,70
331,2017-07-02 09:00,DoorB,98
332,2017-07-02 09:00,DoorC,34
333,2017-07-02 09:00,DoorD,118
334,2017-07-02 09:00,DoorE,45
335,2017-07-02 09:30,DoorA,52
336,2017-07-02 09:30,DoorB,81
337,2017-07-02 09:30,DoorC,37
338,2017-07-02 09:30,DoorD,110
339,2017-07-02 09:30,DoorE,61
340,2017-07-02 10:00,DoorA,58
341,2017-07-02 10:00,DoorB,82
342,2017-07-02 10:00,DoorC,33
343,2017-07-02 10:00,DoorD,111
344,2017-07-02 10:00,DoorE,60
345,2017-07-02 10:30,DoorA,55
346,2017-07-02 10:30,DoorB,80
347,2017-07-02 10:30,DoorC,37
348,2017-07-02 10:30,DoorD,124
349,2017-07-02 10:30,DoorE,49
350,2017-07-02 11:00,DoorA,80
351,2017-07-02 11:00,DoorB,93
352,2017-07-02 11:00,DoorC,34
353,2017-07-02 11:00,DoorD,109
354,2017-07-02 11:00,DoorE,62
355,2017-07-02 11:30,DoorA,50
356,2017-07-02 11:30,DoorB,62
357,2017-07-02 11:30,DoorC,37
358,2017-07-02 11:30,DoorD,117
359,2017-07-02 11:30,DoorE,55
